"category","question","answer"
"焦虑调节","我遇到考试前紧张怎么办？","可以先记录触发事件、想法和身体反应，再尝试腹式呼吸。如果状态仍然明显，可以结合担忧时间，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"焦虑调节","担心未来结果时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试担忧时间。如果状态仍然明显，可以结合证据记录法，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"焦虑调节","最近总是上台发言害怕，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试证据记录法。如果状态仍然明显，可以结合小步暴露，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"焦虑调节","我遇到心慌和坐立不安怎么办？","可以先记录触发事件、想法和身体反应，再尝试小步暴露。如果状态仍然明显，可以结合身体扫描，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"焦虑调节","反复确认与担忧时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试身体扫描。如果状态仍然明显，可以结合腹式呼吸，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"焦虑调节","最近总是考试前紧张，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试腹式呼吸。如果状态仍然明显，可以结合担忧时间，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"焦虑调节","我遇到担心未来结果怎么办？","可以先记录触发事件、想法和身体反应，再尝试担忧时间。如果状态仍然明显，可以结合证据记录法，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"焦虑调节","上台发言害怕时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试证据记录法。如果状态仍然明显，可以结合小步暴露，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"焦虑调节","最近总是心慌和坐立不安，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试小步暴露。如果状态仍然明显，可以结合身体扫描，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"焦虑调节","我遇到反复确认与担忧怎么办？","可以先记录触发事件、想法和身体反应，再尝试身体扫描。如果状态仍然明显，可以结合腹式呼吸，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"焦虑调节","考试前紧张时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试腹式呼吸。如果状态仍然明显，可以结合担忧时间，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"焦虑调节","最近总是担心未来结果，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试担忧时间。如果状态仍然明显，可以结合证据记录法，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"焦虑调节","我遇到上台发言害怕怎么办？","可以先记录触发事件、想法和身体反应，再尝试证据记录法。如果状态仍然明显，可以结合小步暴露，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"焦虑调节","心慌和坐立不安时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试小步暴露。如果状态仍然明显，可以结合身体扫描，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"焦虑调节","最近总是反复确认与担忧，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试身体扫描。如果状态仍然明显，可以结合腹式呼吸，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"焦虑调节","我遇到考试前紧张怎么办？","可以先记录触发事件、想法和身体反应，再尝试腹式呼吸。如果状态仍然明显，可以结合担忧时间，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"焦虑调节","担心未来结果时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试担忧时间。如果状态仍然明显，可以结合证据记录法，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"压力管理","我遇到任务堆积怎么办？","可以先记录触发事件、想法和身体反应，再尝试四象限任务法。如果状态仍然明显，可以结合番茄钟，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"压力管理","DDL 临近时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试番茄钟。如果状态仍然明显，可以结合压力源清单，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"压力管理","最近总是社团和学习冲突，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试压力源清单。如果状态仍然明显，可以结合恢复性休息，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"压力管理","我遇到长期疲惫怎么办？","可以先记录触发事件、想法和身体反应，再尝试恢复性休息。如果状态仍然明显，可以结合求助沟通，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"压力管理","对结果要求过高时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试求助沟通。如果状态仍然明显，可以结合四象限任务法，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"压力管理","最近总是任务堆积，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试四象限任务法。如果状态仍然明显，可以结合番茄钟，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"压力管理","我遇到DDL 临近怎么办？","可以先记录触发事件、想法和身体反应，再尝试番茄钟。如果状态仍然明显，可以结合压力源清单，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"压力管理","社团和学习冲突时有没有简单方法？","可以先记录触发事件、想法和身体反应，再尝试压力源清单。如果状态仍然明显，可以结合恢复性休息，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"压力管理","最近总是长期疲惫，该如何调整？","可以先记录触发事件、想法和身体反应，再尝试恢复性休息。如果状态仍然明显，可以结合求助沟通，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
"压力管理","我遇到对结果要求过高怎么办？","可以先记录触发事件、想法和身体反应，再尝试求助沟通。如果状态仍然明显，可以结合四象限任务法，把问题拆成一个今天能完成的小行动。若出现持续失眠、自伤想法或无法维持学习生活，应及时寻求专业帮助。"
